"codes","official_explanation"
"H30.93","Unspecified chorioretinal inflammation, bilateral"
"H31.001","Unspecified chorioretinal scars, right eye"
"H31.002","Unspecified chorioretinal scars, left eye"
"H31.003","Unspecified chorioretinal scars, bilateral"
"H31.011","Macula scars of posterior pole (postinflammatory) (post-traumatic), right eye"
"H31.012","Macula scars of posterior pole (postinflammatory) (post-traumatic), left eye"
"H31.013","Macula scars of posterior pole (postinflammatory) (post-traumatic), bilateral"
"H31.091","Other chorioretinal scars, right eye"
"H31.092","Other chorioretinal scars, left eye"
"H31.093","Other chorioretinal scars, bilateral"
"H31.102","Choroidal degeneration, unspecified, left eye"
"H31.113","Age-related choroidal atrophy, bilateral"
"H31.20","Hereditary choroidal dystrophy, unspecified"
"H31.22","Choroidal dystrophy (central areolar) (generalized) (peripapillary)"
"H31.302","Unspecified choroidal hemorrhage, left eye"
"H31.321","Choroidal rupture, right eye"
"H31.322","Choroidal rupture, left eye"
"H31.401","Unspecified choroidal detachment, right eye"
"H31.402","Unspecified choroidal detachment, left eye"
"H31.9","Unspecified disorder of choroid"
"H33.001","Unspecified retinal detachment with retinal break, right eye"
"H33.002","Unspecified retinal detachment with retinal break, left eye"
"H33.012","Retinal detachment with single break, left eye"
"H33.023","Retinal detachment with multiple breaks, bilateral"
"H33.031","Retinal detachment with giant retinal tear, right eye"
"H33.033","Retinal detachment with giant retinal tear, bilateral"
"H33.051","Total retinal detachment, right eye"
"H33.052","Total retinal detachment, left eye"
"H33.053","Total retinal detachment, bilateral"
"H33.101","Unspecified retinoschisis, right eye"
"H33.102","Unspecified retinoschisis, left eye"
"H33.103","Unspecified retinoschisis, bilateral"
"H33.192","Other retinoschisis and retinal cysts, left eye"
"H33.193","Other retinoschisis and retinal cysts, bilateral"
"H33.21","Serous retinal detachment, right eye"
"H33.22","Serous retinal detachment, left eye"
"H33.23","Serous retinal detachment, bilateral"
"H33.302","Unspecified retinal break, left eye"
"H33.311","Horseshoe tear of retina without detachment, right eye"
"H33.312","Horseshoe tear of retina without detachment, left eye"
"H33.313","Horseshoe tear of retina without detachment, bilateral"
"H33.321","Round hole, right eye"
"H33.322","Round hole, left eye"
"H33.323","Round hole, bilateral"
"H33.333","Multiple defects of retina without detachment, bilateral"
"H33.41","Traction detachment of retina, right eye"
"H33.42","Traction detachment of retina, left eye"
"H33.43","Traction detachment of retina, bilateral"
"H33.8","Other retinal detachments"
"H34.01","Transient retinal artery occlusion, right eye"
"H34.11","Central retinal artery occlusion, right eye"
"H34.12","Central retinal artery occlusion, left eye"
"H34.211","Partial retinal artery occlusion, right eye"
"H34.212","Partial retinal artery occlusion, left eye"
"H34.213","Partial retinal artery occlusion, bilateral"
"H34.231","Retinal artery branch occlusion, right eye"
"H34.232","Retinal artery branch occlusion, left eye"
"H34.233","Retinal artery branch occlusion, bilateral"
"H34.811","Central retinal vein occlusion, right eye"
"H34.8110","Null"
"H34.812","Central retinal vein occlusion, left eye"
"H34.8120","Null"
"H34.813","Central retinal vein occlusion, bilateral"
"H34.821","Venous engorgement, right eye"
"H34.822","Venous engorgement, left eye"
"H34.823","Venous engorgement, bilateral"
"H34.831","Tributary (branch) retinal vein occlusion, right eye"
"H34.8310","Null"
"H34.8312","Null"
"H34.832","Tributary (branch) retinal vein occlusion, left eye"
"H34.8321","Null"
"H34.8322","Null"
"H34.833","Tributary (branch) retinal vein occlusion, bilateral"
"H34.9","Unspecified retinal vascular occlusion"
"H35.00","Unspecified background retinopathy"
"H35.011","Changes in retinal vascular appearance, right eye"
"H35.012","Changes in retinal vascular appearance, left eye"
"H35.013","Changes in retinal vascular appearance, bilateral"
"H35.022","Exudative retinopathy, left eye"
"H35.023","Exudative retinopathy, bilateral"
"H35.031","Hypertensive retinopathy, right eye"
"H35.032","Hypertensive retinopathy, left eye"
"H35.033","Hypertensive retinopathy, bilateral"
"H35.041","Retinal micro-aneurysms, unspecified, right eye"
"H35.042","Retinal micro-aneurysms, unspecified, left eye"
"H35.051","Retinal neovascularization, unspecified, right eye"
"H35.052","Retinal neovascularization, unspecified, left eye"
"H35.053","Retinal neovascularization, unspecified, bilateral"
"H35.061","Retinal vasculitis, right eye"
"H35.062","Retinal vasculitis, left eye"
"H35.063","Retinal vasculitis, bilateral"
"H35.073","Retinal telangiectasis, bilateral"
"H35.09","Other intraretinal microvascular abnormalities"
"H35.103","Retinopathy of prematurity, unspecified, bilateral"
"H35.143","Retinopathy of prematurity, stage 3, bilateral"
"H35.21","Other non-diabetic proliferative retinopathy, right eye"
"H35.22","Other non-diabetic proliferative retinopathy, left eye"
"H35.23","Other non-diabetic proliferative retinopathy, bilateral"
"H35.30","Unspecified macular degeneration"
"H35.31","Nonexudative age-related macular degeneration"
"H35.3112","Null"
"H35.3131","Null"
"H35.3132","Null"
"H35.32","Exudative age-related macular degeneration"
"H35.3212","Null"
"H35.3221","Null"
"H35.3223","Null"
"H35.3230","Null"
"H35.341","Macular cyst, hole, or pseudohole, right eye"
"H35.342","Macular cyst, hole, or pseudohole, left eye"
"H35.343","Macular cyst, hole, or pseudohole, bilateral"
"H35.351","Cystoid macular degeneration, right eye"
"H35.352","Cystoid macular degeneration, left eye"
"H35.353","Cystoid macular degeneration, bilateral"
"H35.361","Drusen (degenerative) of macula, right eye"
"H35.362","Drusen (degenerative) of macula, left eye"
"H35.363","Drusen (degenerative) of macula, bilateral"
"H35.371","Puckering of macula, right eye"
"H35.372","Puckering of macula, left eye"
"H35.373","Puckering of macula, bilateral"
"H35.383","Toxic maculopathy, bilateral"
"H35.40","Unspecified peripheral retinal degeneration"
"H35.411","Lattice degeneration of retina, right eye"
"H35.412","Lattice degeneration of retina, left eye"
"H35.413","Lattice degeneration of retina, bilateral"
"H35.432","Paving stone degeneration of retina, left eye"
"H35.433","Paving stone degeneration of retina, bilateral"
"H35.443","Age-related reticular degeneration of retina, bilateral"
"H35.50","Unspecified hereditary retinal dystrophy"
"H35.52","Pigmentary retinal dystrophy"
"H35.53","Other dystrophies primarily involving the sensory retina"
"H35.54","Dystrophies primarily involving the retinal pigment epithelium"
"H35.61","Retinal hemorrhage, right eye"
"H35.62","Retinal hemorrhage, left eye"
"H35.63","Retinal hemorrhage, bilateral"
"H35.70","Unspecified separation of retinal layers"
"H35.711","Central serous chorioretinopathy, right eye"
"H35.713","Central serous chorioretinopathy, bilateral"
"H35.721","Serous detachment of retinal pigment epithelium, right eye"
"H35.722","Serous detachment of retinal pigment epithelium, left eye"
"H35.723","Serous detachment of retinal pigment epithelium, bilateral"
"H35.81","Retinal edema"
"H35.82","Retinal ischemia"
"H35.89","Other specified retinal disorders"
"H35.9","Unspecified retinal disorder"
"H40.003","Preglaucoma, unspecified, bilateral"
"H40.011","Open angle with borderline findings, low risk, right eye"
"H40.012","Open angle with borderline findings, low risk, left eye"
"H40.013","Open angle with borderline findings, low risk, bilateral"
"H40.021","Open angle with borderline findings, high risk, right eye"
"H40.022","Open angle with borderline findings, high risk, left eye"
"H40.023","Open angle with borderline findings, high risk, bilateral"
"H40.031","Anatomical narrow angle, right eye"
"H40.032","Anatomical narrow angle, left eye"
"H40.033","Anatomical narrow angle, bilateral"
"H40.041","Steroid responder, right eye"
"H40.043","Steroid responder, bilateral"
"H40.051","Ocular hypertension, right eye"
"H40.052","Ocular hypertension, left eye"
"H40.053","Ocular hypertension, bilateral"
"H40.061","Primary angle closure without glaucoma damage, right eye"
"H40.062","Primary angle closure without glaucoma damage, left eye"
"H40.063","Primary angle closure without glaucoma damage, bilateral"
"H40.10X1","Unspecified open-angle glaucoma, mild stage"
"H40.10X2","Unspecified open-angle glaucoma, moderate stage"
"H40.10X3","Unspecified open-angle glaucoma, severe stage"
"H40.10X4","Unspecified open-angle glaucoma, indeterminate stage"
"H40.1111","Null"
"H40.1112","Null"
"H40.1113","Null"
"H40.1121","Null"
"H40.1122","Null"
"H40.1123","Null"
"H40.1131","Null"
"H40.1132","Null"
"H40.1133","Null"
"H40.1134","Null"
"H40.11X1","Primary open-angle glaucoma, mild stage"
"H40.11X2","Primary open-angle glaucoma, moderate stage"
"H40.11X3","Primary open-angle glaucoma, severe stage"
"H40.11X4","Primary open-angle glaucoma, indeterminate stage"
"H40.1211","Low-tension glaucoma, right eye, mild stage"
"H40.1213","Low-tension glaucoma, right eye, severe stage"
"H40.1222","Low-tension glaucoma, left eye, moderate stage"
"H40.1223","Low-tension glaucoma, left eye, severe stage"
"H40.1224","Low-tension glaucoma, left eye, indeterminate stage"
"H40.1231","Low-tension glaucoma, bilateral, mild stage"
"H40.1232","Low-tension glaucoma, bilateral, moderate stage"
"H40.1233","Low-tension glaucoma, bilateral, severe stage"
"H40.1234","Low-tension glaucoma, bilateral, indeterminate stage"
"H40.1312","Pigmentary glaucoma, right eye, moderate stage"
"H40.1322","Pigmentary glaucoma, left eye, moderate stage"
"H40.1323","Pigmentary glaucoma, left eye, severe stage"
"H40.1333","Pigmentary glaucoma, bilateral, severe stage"
"H40.1334","Pigmentary glaucoma, bilateral, indeterminate stage"
"H40.1421","Capsular glaucoma with pseudoexfoliation of lens, left eye, mild stage"
"H40.1431","Capsular glaucoma with pseudoexfoliation of lens, bilateral, mild stage"
"H40.1432","Capsular glaucoma with pseudoexfoliation of lens, bilateral, moderate stage"
"H40.1433","Capsular glaucoma with pseudoexfoliation of lens, bilateral, severe stage"
"H40.1434","Capsular glaucoma with pseudoexfoliation of lens, bilateral, indeterminate stage"
"H40.153","Residual stage of open-angle glaucoma, bilateral"
"H40.20X1","Unspecified primary angle-closure glaucoma, mild stage"
"H40.20X2","Unspecified primary angle-closure glaucoma, moderate stage"
"H40.20X4","Unspecified primary angle-closure glaucoma, indeterminate stage"
"H40.211","Acute angle-closure glaucoma, right eye"
"H40.212","Acute angle-closure glaucoma, left eye"
"H40.213","Acute angle-closure glaucoma, bilateral"
"H40.2211","Chronic angle-closure glaucoma, right eye, mild stage"
"H40.2212","Chronic angle-closure glaucoma, right eye, moderate stage"
"H40.2213","Chronic angle-closure glaucoma, right eye, severe stage"
"H40.2221","Chronic angle-closure glaucoma, left eye, mild stage"
"H40.2222","Chronic angle-closure glaucoma, left eye, moderate stage"
"H40.2223","Chronic angle-closure glaucoma, left eye, severe stage"
"H40.2231","Chronic angle-closure glaucoma, bilateral, mild stage"
"H40.2232","Chronic angle-closure glaucoma, bilateral, moderate stage"
"H40.2233","Chronic angle-closure glaucoma, bilateral, severe stage"
"H40.2234","Chronic angle-closure glaucoma, bilateral, indeterminate stage"
"H40.232","Intermittent angle-closure glaucoma, left eye"
"H40.233","Intermittent angle-closure glaucoma, bilateral"
"H40.243","Residual stage of angle-closure glaucoma, bilateral"
"H40.31X1","Glaucoma secondary to eye trauma, right eye, mild stage"
"H40.31X2","Glaucoma secondary to eye trauma, right eye, moderate stage"
"H40.31X3","Glaucoma secondary to eye trauma, right eye, severe stage"
"H40.31X4","Glaucoma secondary to eye trauma, right eye, indeterminate stage"
"H40.32X1","Glaucoma secondary to eye trauma, left eye, mild stage"
"H40.32X2","Glaucoma secondary to eye trauma, left eye, moderate stage"
"H40.32X3","Glaucoma secondary to eye trauma, left eye, severe stage"
"H40.32X4","Glaucoma secondary to eye trauma, left eye, indeterminate stage"
"H40.33X2","Glaucoma secondary to eye trauma, bilateral, moderate stage"
"H40.33X3","Glaucoma secondary to eye trauma, bilateral, severe stage"
"H40.41X3","Glaucoma secondary to eye inflammation, right eye, severe stage"
"H40.42X1","Glaucoma secondary to eye inflammation, left eye, mild stage"
"H40.42X2","Glaucoma secondary to eye inflammation, left eye, moderate stage"
"H40.42X3","Glaucoma secondary to eye inflammation, left eye, severe stage"
"H40.42X4","Glaucoma secondary to eye inflammation, left eye, indeterminate stage"
"H40.43X2","Glaucoma secondary to eye inflammation, bilateral, moderate stage"
"H40.43X3","Glaucoma secondary to eye inflammation, bilateral, severe stage"
"H40.43X4","Glaucoma secondary to eye inflammation, bilateral, indeterminate stage"
"H40.50X4","Glaucoma secondary to other eye disorders, unspecified eye, indeterminate stage"
"H40.51X2","Glaucoma secondary to other eye disorders, right eye, moderate stage"
"H40.51X3","Glaucoma secondary to other eye disorders, right eye, severe stage"
"H40.51X4","Glaucoma secondary to other eye disorders, right eye, indeterminate stage"
"H40.52X2","Glaucoma secondary to other eye disorders, left eye, moderate stage"
"H40.52X3","Glaucoma secondary to other eye disorders, left eye, severe stage"
"H40.52X4","Glaucoma secondary to other eye disorders, left eye, indeterminate stage"
"H40.53X3","Glaucoma secondary to other eye disorders, bilateral, severe stage"
"H40.61X1","Glaucoma secondary to drugs, right eye, mild stage"
"H40.62X3","Glaucoma secondary to drugs, left eye, severe stage"
"H40.63X1","Glaucoma secondary to drugs, bilateral, mild stage"
"H40.823","Hypersecretion glaucoma, bilateral"
"H40.89","Other specified glaucoma"
"H40.9","Unspecified glaucoma"
"H42","Glaucoma in diseases classified elsewhere"
"H43.01","Vitreous prolapse, right eye"
"H43.03","Vitreous prolapse, bilateral"
"H43.11","Vitreous hemorrhage, right eye"
"H43.12","Vitreous hemorrhage, left eye"
"H43.13","Vitreous hemorrhage, bilateral"
"H43.21","Crystalline deposits in vitreous body, right eye"
"H43.22","Crystalline deposits in vitreous body, left eye"
"H43.23","Crystalline deposits in vitreous body, bilateral"
"H43.311","Vitreous membranes and strands, right eye"
"H43.312","Vitreous membranes and strands, left eye"
"H43.313","Vitreous membranes and strands, bilateral"
"H43.391","Other vitreous opacities, right eye"
"H43.392","Other vitreous opacities, left eye"
"H43.393","Other vitreous opacities, bilateral"
"H43.811","Vitreous degeneration, right eye"
"H43.812","Vitreous degeneration, left eye"
"H43.813","Vitreous degeneration, bilateral"
"H43.821","Vitreomacular adhesion, right eye"
"H43.822","Vitreomacular adhesion, left eye"
"H43.823","Vitreomacular adhesion, bilateral"
"H43.9","Unspecified disorder of vitreous body"
"H44.111","Panuveitis, right eye"
"H44.132","Sympathetic uveitis, left eye"
"H44.21","Degenerative myopia, right eye"
"H44.22","Degenerative myopia, left eye"
"H44.23","Degenerative myopia, bilateral"
"H44.40","Unspecified hypotony of eye"
"H44.432","Hypotony of eye due to other ocular disorders, left eye"
"H44.511","Absolute glaucoma, right eye"
"H44.512","Absolute glaucoma, left eye"
"H44.513","Absolute glaucoma, bilateral"
"H44.521","Atrophy of globe, right eye"
"H44.522","Atrophy of globe, left eye"
"H44.701","Unspecified retained (old) intraocular foreign body, nonmagnetic, right eye"
"H44.712","Retained (nonmagnetic) (old) foreign body in anterior chamber, left eye"
"H46.12","Retrobulbar neuritis, left eye"
"H46.13","Retrobulbar neuritis, bilateral"
"H46.3","Toxic optic neuropathy"
"H46.8","Other optic neuritis"
"H46.9","Unspecified optic neuritis"
"H47.011","Ischemic optic neuropathy, right eye"
"H47.012","Ischemic optic neuropathy, left eye"
"H47.013","Ischemic optic neuropathy, bilateral"
"H47.022","Hemorrhage in optic nerve sheath, left eye"
"H47.031","Optic nerve hypoplasia, right eye"
"H47.032","Optic nerve hypoplasia, left eye"
"H47.033","Optic nerve hypoplasia, bilateral"
"H47.091","Other disorders of optic nerve, not elsewhere classified, right eye"
"H47.092","Other disorders of optic nerve, not elsewhere classified, left eye"
"H47.093","Other disorders of optic nerve, not elsewhere classified, bilateral"
"H47.099","Other disorders of optic nerve, not elsewhere classified, unspecified eye"
"H47.10","Unspecified papilledema"
"H47.11","Papilledema associated with increased intracranial pressure"
"H47.20","Unspecified optic atrophy"
"H47.211","Primary optic atrophy, right eye"
"H47.212","Primary optic atrophy, left eye"
"H47.213","Primary optic atrophy, bilateral"
"H47.231","Glaucomatous optic atrophy, right eye"
"H47.233","Glaucomatous optic atrophy, bilateral"
"H47.291","Other optic atrophy, right eye"
"H47.292","Other optic atrophy, left eye"
"H47.293","Other optic atrophy, bilateral"
"H47.312","Coloboma of optic disc, left eye"
"H47.321","Drusen of optic disc, right eye"
"H47.322","Drusen of optic disc, left eye"
"H47.323","Drusen of optic disc, bilateral"
"H47.331","Pseudopapilledema of optic disc, right eye"
"H47.332","Pseudopapilledema of optic disc, left eye"
"H47.333","Pseudopapilledema of optic disc, bilateral"
"H47.391","Other disorders of optic disc, right eye"
"H47.392","Other disorders of optic disc, left eye"
"H47.393","Other disorders of optic disc, bilateral"
"H49.01","Third [oculomotor] nerve palsy, right eye"
"H49.02","Third [oculomotor] nerve palsy, left eye"
"H49.11","Fourth [trochlear] nerve palsy, right eye"
"H49.12","Fourth [trochlear] nerve palsy, left eye"
"H49.21","Sixth [abducent] nerve palsy, right eye"
"H49.22","Sixth [abducent] nerve palsy, left eye"
"H49.882","Other paralytic strabismus, left eye"
"H50.00","Unspecified esotropia"
"H50.011","Monocular esotropia, right eye"
"H50.012","Monocular esotropia, left eye"
"H50.05","Alternating esotropia"
"H50.10","Unspecified exotropia"
"H50.111","Monocular exotropia, right eye"
"H50.112","Monocular exotropia, left eye"
"H50.132","Monocular exotropia with V pattern, left eye"
"H50.141","Monocular exotropia with other noncomitancies, right eye"
"H50.15","Alternating exotropia"
"H50.17","Alternating exotropia with V pattern"
"H50.18","Alternating exotropia with other noncomitancies"
"H50.21","Vertical strabismus, right eye"
"H50.22","Vertical strabismus, left eye"
"H50.311","Intermittent monocular esotropia, right eye"
"H50.312","Intermittent monocular esotropia, left eye"
"H50.331","Intermittent monocular exotropia, right eye"
"H50.332","Intermittent monocular exotropia, left eye"
"H50.34","Intermittent alternating exotropia"
"H50.43","Accommodative component in esotropia"
"H50.51","Esophoria"
"H50.52","Exophoria"
"H50.811","Duane's syndrome, right eye"
"H50.812","Duane's syndrome, left eye"
"H50.89","Other specified strabismus"
"H50.9","Unspecified strabismus"
"H51.11","Convergence insufficiency"
"H51.12","Convergence excess"
"H51.22","Internuclear ophthalmoplegia, left eye"
"H51.23","Internuclear ophthalmoplegia, bilateral"
"H52.01","Hypermetropia, right eye"
"H52.02","Hypermetropia, left eye"
"H52.03","Hypermetropia, bilateral"
"H52.11","Myopia, right eye"
"H52.12","Myopia, left eye"
"H52.13","Myopia, bilateral"
"H52.201","Unspecified astigmatism, right eye"
"H52.202","Unspecified astigmatism, left eye"
"H52.203","Unspecified astigmatism, bilateral"
"H52.211","Irregular astigmatism, right eye"
"H52.212","Irregular astigmatism, left eye"
"H52.213","Irregular astigmatism, bilateral"
"H52.221","Regular astigmatism, right eye"
"H52.222","Regular astigmatism, left eye"
"H52.223","Regular astigmatism, bilateral"
"H52.31","Anisometropia"
"H52.4","Presbyopia"
"H52.523","Paresis of accommodation, bilateral"
"H52.533","Spasm of accommodation, bilateral"
"H52.6","Other disorders of refraction"
"H52.7","Unspecified disorder of refraction"
"H53.001","Unspecified amblyopia, right eye"
"H53.002","Unspecified amblyopia, left eye"
"H53.011","Deprivation amblyopia, right eye"
"H53.012","Deprivation amblyopia, left eye"
"H53.021","Refractive amblyopia, right eye"
"H53.022","Refractive amblyopia, left eye"
"H53.023","Refractive amblyopia, bilateral"
"H53.031","Strabismic amblyopia, right eye"
"H53.032","Strabismic amblyopia, left eye"
"H53.10","Unspecified subjective visual disturbances"
"H53.121","Transient visual loss, right eye"
"H53.123","Transient visual loss, bilateral"
"H53.131","Sudden visual loss, right eye"
"H53.141","Visual discomfort, right eye"
"H53.142","Visual discomfort, left eye"
"H53.143","Visual discomfort, bilateral"
"H53.149","Visual discomfort, unspecified"
"H53.15","Visual distortions of shape and size"
"H53.16","Psychophysical visual disturbances"
"H53.19","Other subjective visual disturbances"
"H53.2","Diplopia"
"H53.30","Unspecified disorder of binocular vision"
"H53.34","Suppression of binocular vision"
"H53.40","Unspecified visual field defects"
"H53.411","Scotoma involving central area, right eye"
"H53.412","Scotoma involving central area, left eye"
"H53.413","Scotoma involving central area, bilateral"
"H53.423","Scotoma of blind spot area, bilateral"
"H53.431","Sector or arcuate defects, right eye"
"H53.432","Sector or arcuate defects, left eye"
"H53.433","Sector or arcuate defects, bilateral"
"H53.451","Other localized visual field defect, right eye"
"H53.452","Other localized visual field defect, left eye"
"H53.453","Other localized visual field defect, bilateral"
"H53.461","Homonymous bilateral field defects, right side"
"H53.462","Homonymous bilateral field defects, left side"
"H53.47","Heteronymous bilateral field defects"
"H53.481","Generalized contraction of visual field, right eye"
"H53.482","Generalized contraction of visual field, left eye"
"H53.483","Generalized contraction of visual field, bilateral"
"H53.50","Unspecified color vision deficiencies"
"H53.51","Achromatopsia"
"H53.52","Acquired color vision deficiency"
"H53.61","Abnormal dark adaptation curve"
"H53.62","Acquired night blindness"
"H53.71","Glare sensitivity"
"H53.72","Impaired contrast sensitivity"
"H53.8","Other visual disturbances"
"H53.9","Unspecified visual disturbance"
"H54.0","Blindness, both eyes"
"H54.11","Blindness, right eye, low vision left eye"
"H54.12","Blindness, left eye, low vision right eye"
"H54.2","Low vision, both eyes"
"H54.3","Unqualified visual loss, both eyes"
"H54.40","Blindness, one eye, unspecified eye"
"H54.41","Blindness, right eye, normal vision left eye"
"H54.42","Blindness, left eye, normal vision right eye"
"H54.51","Low vision, right eye, normal vision left eye"
"H54.52","Low vision, left eye, normal vision right eye"
"H54.60","Unqualified visual loss, one eye, unspecified"
"H54.61","Unqualified visual loss, right eye, normal vision left eye"
"H54.62","Unqualified visual loss, left eye, normal vision right eye"
"H54.7","Unspecified visual loss"
"H54.8","Legal blindness, as defined in USA"
"H55.00","Unspecified nystagmus"
"H55.01","Congenital nystagmus"
"H55.02","Latent nystagmus"
"H55.09","Other forms of nystagmus"
"H55.89","Other irregular eye movements"
"H57.00","Unspecified anomaly of pupillary function"
"H57.01","Argyll Robertson pupil, atypical"
"H57.02","Anisocoria"
"H57.053","Tonic pupil, bilateral"
"H57.09","Other anomalies of pupillary function"
"H57.11","Ocular pain, right eye"
"H57.12","Ocular pain, left eye"
"H57.13","Ocular pain, bilateral"
"H57.8","Other specified disorders of eye and adnexa"
"H59.012","Keratopathy (bullous aphakic) following cataract surgery, left eye"
"H59.013","Keratopathy (bullous aphakic) following cataract surgery, bilateral"
"H59.022","Cataract (lens) fragments in eye following cataract surgery, left eye"
"H59.031","Cystoid macular edema following cataract surgery, right eye"
"H59.032","Cystoid macular edema following cataract surgery, left eye"
"H59.033","Cystoid macular edema following cataract surgery, bilateral"
"H59.091","Other disorders of the right eye following cataract surgery"
"H81.13","Benign paroxysmal vertigo, bilateral"
"I10","Essential (primary) hypertension"
"I63.50","Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery"
"I63.9","Cerebral infarction, unspecified"
"I66.9","Occlusion and stenosis of unspecified cerebral artery"
"I67.5","Moyamoya disease"
"I67.81","Acute cerebrovascular insufficiency"
"I67.9","Cerebrovascular disease, unspecified"
"I69.30","Unspecified sequelae of cerebral infarction"
"I78.1","Nevus, non-neoplastic"
"K09.8","Other cysts of oral region, not elsewhere classified"
"L03.211","Cellulitis of face"
"L03.213","Null"
"L20.9","Atopic dermatitis, unspecified"
"L25.9","Unspecified contact dermatitis, unspecified cause"
"L30.9","Dermatitis, unspecified"
"L51.1","Stevens-Johnson syndrome"
"L71.8","Other rosacea"
"L71.9","Rosacea, unspecified"
"L72.3","Sebaceous cyst"
"L91.9","Hypertrophic disorder of the skin, unspecified"
"L93.0","Discoid lupus erythematosus"
"L98.0","Pyogenic granuloma"
"M06.9","Rheumatoid arthritis, unspecified"
"M31.6","Other giant cell arteritis"
"M32.9","Systemic lupus erythematosus, unspecified"
"M35.01","Sicca syndrome with keratoconjunctivitis"
"O24.419","Gestational diabetes mellitus in pregnancy, unspecified control"
"O24.919","Unspecified diabetes mellitus in pregnancy, unspecified trimester"
"Q10.0","Congenital ptosis"
"Q10.1","Congenital ectropion"
"Q11.1","Other anophthalmos"
"Q12.0","Congenital cataract"
"Q13.1","Absence of iris"
"Q13.2","Other congenital malformations of iris"
"Q13.4","Other congenital corneal malformations"
"Q14.1","Congenital malformation of retina"
"Q15.0","Congenital glaucoma"
"Q82.5","Congenital non-neoplastic nevus"
"Q82.8","Other specified congenital malformations of skin"
"R03.0","Elevated blood-pressure reading, without diagnosis of hypertension"
"R04.0","Epistaxis"
"R06.00","Dyspnea, unspecified"
"R06.02","Shortness of breath"
"R23.8","Other skin changes"
"R25.3","Fasciculation"
"R29.810","Facial weakness"
"R42","Dizziness and giddiness"
"R47.01","Aphasia"
"R51","Headache"
"R52","Pain, unspecified"
"R58","Hemorrhage, not elsewhere classified"
"R70.0","Elevated erythrocyte sedimentation rate"
"R73.01","Impaired fasting glucose"
"R73.03","Null"
"R73.09","Other abnormal glucose"
"S00.11XS","Contusion of right eyelid and periocular area, sequela"
"S00.12XA","Contusion of left eyelid and periocular area, initial encounter"
"S01.111A","Laceration without foreign body of right eyelid and periocular area, initial encounter"
"S02.3XXA","Fracture of orbital floor, initial encounter for closed fracture"
"S02.3XXD","Fracture of orbital floor, subsequent encounter for fracture with routine healing"
"S02.3XXS","Fracture of orbital floor, sequela"
"S04.012D","Injury of optic nerve, left eye, subsequent encounter"
"S04.20XA","Injury of trochlear nerve, unspecified side, initial encounter"
"S05.01XA","Injury of conjunctiva and corneal abrasion without foreign body, right eye, initial encounter"
"S05.01XD","Injury of conjunctiva and corneal abrasion without foreign body, right eye, subsequent encounter"
"S05.01XS","Injury of conjunctiva and corneal abrasion without foreign body, right eye, sequela"
"S05.02XA","Injury of conjunctiva and corneal abrasion without foreign body, left eye, initial encounter"
"S05.02XD","Injury of conjunctiva and corneal abrasion without foreign body, left eye, subsequent encounter"
"S05.11XA","Contusion of eyeball and orbital tissues, right eye, initial encounter"
"S05.11XS","Contusion of eyeball and orbital tissues, right eye, sequela"
"S05.12XA","Contusion of eyeball and orbital tissues, left eye, initial encounter"
"S05.12XS","Contusion of eyeball and orbital tissues, left eye, sequela"
"S05.31XD","Ocular laceration without prolapse or loss of intraocular tissue, right eye, subsequent encounter"
"S05.71XD","Avulsion of right eye, subsequent encounter"
"S05.71XS","Avulsion of right eye, sequela"
"S05.72XD","Avulsion of left eye, subsequent encounter"
"S05.72XS","Avulsion of left eye, sequela"
"S05.8X2S","Other injuries of left eye and orbit, sequela"
"S05.91XA","Unspecified injury of right eye and orbit, initial encounter"
"S06.2X9A","Diffuse traumatic brain injury with loss of consciousness of unspecified duration, initial encounter"
"S06.300A","Unspecified focal traumatic brain injury without loss of consciousness, initial encounter"
"T15.01XA","Foreign body in cornea, right eye, initial encounter"
"T15.01XD","Foreign body in cornea, right eye, subsequent encounter"
"T15.01XS","Foreign body in cornea, right eye, sequela"
"T15.02XA","Foreign body in cornea, left eye, initial encounter"
"T15.11XA","Foreign body in conjunctival sac, right eye, initial encounter"
"T15.12XA","Foreign body in conjunctival sac, left eye, initial encounter"
"T20.42XA","Corrosion of unspecified degree of lip(s), initial encounter"
"T26.90XA","Corrosion of unspecified eye and adnexa, part unspecified, initial encounter"
"T26.92XD","Corrosion of left eye and adnexa, part unspecified, subsequent encounter"
"T78.49XS","Other allergy, sequela"
"T85.22XA","Displacement of intraocular lens, initial encounter"
"T85.22XS","Displacement of intraocular lens, sequela"
"T85.29XA","Other mechanical complication of intraocular lens, initial encounter"
"T85.310A","Breakdown (mechanical) of prosthetic orbit of right eye, initial encounter"
"T85.390A","Other mechanical complication of prosthetic orbit of right eye, initial encounter"
"T85.390S","Other mechanical complication of prosthetic orbit of right eye, sequela"
"T85.398S","Other mechanical complication of other ocular prosthetic devices, implants and grafts, sequela"
"T85.621S","Displacement of intraperitoneal dialysis catheter, sequela"
"T85.622A","Displacement of permanent sutures, initial encounter"
"T86.840","Corneal transplant rejection"
"T86.848","Other complications of corneal transplant"
"T86.849","Unspecified complication of corneal transplant"
"V02.62","Hepatitis C carrier"
"V08","Asymptomatic human immunodeficiency virus [HIV] infection status"
"V12.41","Personal history of benign neoplasm of the brain"
"V12.54","Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
