"codes","official_explanation"
"376.01","Orbital cellulitis"
"376.11","Orbital granuloma"
"376.21","Thyrotoxic exophthalmos"
"376.22","Exophthalmic ophthalmoplegia"
"376.30","Exophthalmos, unspecified"
"376.31","Constant exophthalmos"
"376.33","Orbital edema or congestion"
"376.35","Pulsating exophthalmos"
"376.47","Deformity of orbit due to trauma or surgery"
"376.51","Enophthalmos due to atrophy of orbital tissue"
"376.52","Enophthalmos due to trauma or surgery"
"376.81","Orbital cysts"
"376.89","Other orbital disorders"
"376.9","Unspecified disorder of orbit"
"377.00","Papilledema, unspecified"
"377.01","Papilledema associated with increased intracranial pressure"
"377.10","Optic atrophy, unspecified"
"377.11","Primary optic atrophy"
"377.12","Postinflammatory optic atrophy"
"377.13","Optic atrophy associated with retinal dystrophies"
"377.14","Glaucomatous atrophy [cupping] of optic disc"
"377.15","Partial optic atrophy"
"377.16","Hereditary optic atrophy"
"377.21","Drusen of optic disc"
"377.22","Crater-like holes of optic disc"
"377.23","Coloboma of optic disc"
"377.24","Pseudopapilledema"
"377.30","Optic neuritis, unspecified"
"377.31","Optic papillitis"
"377.32","Retrobulbar neuritis (acute)"
"377.34","Toxic optic neuropathy"
"377.39","Other optic neuritis"
"377.41","Ischemic optic neuropathy"
"377.42","Hemorrhage in optic nerve sheaths"
"377.43","Optic nerve hypoplasia"
"377.49","Other disorders of optic nerve"
"377.51","Disorders of optic chiasm associated with pituitary neoplasms and disorders"
"377.75","Cortical blindness"
"377.9","Unspecified disorder of optic nerve and visual pathways"
"378.00","Esotropia, unspecified"
"378.01","Monocular esotropia"
"378.03","Monocular esotropia with V pattern"
"378.05","Alternating esotropia"
"378.10","Exotropia, unspecified"
"378.11","Monocular exotropia"
"378.15","Alternating exotropia"
"378.17","Alternating exotropia with V pattern"
"378.18","Alternating exotropia with other noncomitancies"
"378.20","Intermittent heterotropia, unspecified"
"378.21","Intermittent esotropia, monocular"
"378.22","Intermittent esotropia, alternating"
"378.23","Intermittent exotropia, monocular"
"378.24","Intermittent exotropia, alternating"
"378.31","Hypertropia"
"378.32","Hypotropia"
"378.35","Accommodative component in esotropia"
"378.40","Heterophoria, unspecified"
"378.41","Esophoria"
"378.42","Exophoria"
"378.43","Vertical heterophoria"
"378.45","Alternating hyperphoria"
"378.50","Paralytic strabismus, unspecified"
"378.51","Third or oculomotor nerve palsy, partial"
"378.52","Third or oculomotor nerve palsy, total"
"378.53","Fourth or trochlear nerve palsy"
"378.54","Sixth or abducens nerve palsy"
"378.60","Mechanical strabismus, unspecified"
"378.62","Mechanical strabismus from other musculofascial disorders"
"378.71","Duane's syndrome"
"378.81","Palsy of conjugate gaze"
"378.83","Convergence insufficiency or palsy"
"378.84","Convergence excess or spasm"
"378.85","Anomalies of divergence"
"378.86","Internuclear ophthalmoplegia"
"378.87","Other dissociated deviation of eye movements"
"378.9","Unspecified disorder of eye movements"
"379.00","Scleritis, unspecified"
"379.01","Episcleritis periodica fugax"
"379.02","Nodular episcleritis"
"379.03","Anterior scleritis"
"379.07","Posterior scleritis"
"379.09","Other scleritis and episcleritis"
"379.11","Scleral ectasia"
"379.12","Staphyloma posticum"
"379.15","Ring staphyloma"
"379.19","Other disorders of sclera"
"379.21","Vitreous degeneration"
"379.22","Crystalline deposits in vitreous"
"379.23","Vitreous hemorrhage"
"379.24","Other vitreous opacities"
"379.25","Vitreous membranes and strands"
"379.26","Vitreous prolapse"
"379.27","Vitreomacular adhesion"
"379.29","Other disorders of vitreous"
"379.31","Aphakia"
"379.32","Subluxation of lens"
"379.33","Anterior dislocation of lens"
"379.34","Posterior dislocation of lens"
"379.39","Other disorders of lens"
"379.40","Abnormal pupillary function, unspecified"
"379.41","Anisocoria"
"379.46","Tonic pupillary reaction"
"379.49","Other anomalies of pupillary function"
"379.50","Nystagmus, unspecified"
"379.51","Congenital nystagmus"
"379.52","Latent nystagmus"
"379.56","Other forms of nystagmus"
"379.57","Deficiencies of saccadic eye movements"
"379.58","Deficiencies of smooth pursuit movements"
"379.59","Other irregularities of eye movements"
"379.60","Inflammation (infection) of postprocedural bleb, unspecified"
"379.8","Other specified disorders of eye and adnexa"
"379.90","Disorder of eye, unspecified"
"379.91","Pain in or around eye"
"379.92","Swelling or mass of eye"
"379.93","Redness or discharge of eye"
"379.99","Other ill-defined disorders of eye"
"388.01","Presbyacusis"
"388.30","Tinnitus, unspecified"
"401.0","Malignant essential hypertension"
"401.1","Benign essential hypertension"
"401.9","Unspecified essential hypertension"
"402.90","Unspecified hypertensive heart disease without heart failure"
"405.19","Other benign secondary hypertension"
"405.99","Other unspecified secondary hypertension"
"416.0","Primary pulmonary hypertension"
"429.9","Heart disease, unspecified"
"431","Intracerebral hemorrhage"
"433.10","Occlusion and stenosis of carotid artery without mention of cerebral infarction"
"434.91","Cerebral artery occlusion, unspecified with cerebral infarction"
"435.8","Other specified transient cerebral ischemias"
"435.9","Unspecified transient cerebral ischemia"
"436","Acute, but ill-defined, cerebrovascular disease"
"437.1","Other generalized ischemic cerebrovascular disease"
"437.5","Moyamoya disease"
"437.9","Unspecified cerebrovascular disease"
"438.7","Late effects of cerebrovascular disease, disturbances of vision"
"438.85","Other late effects of cerebrovascular disease, vertigo"
"438.9","Unspecified late effects of cerebrovascular disease"
"440.9","Generalized and unspecified atherosclerosis"
"443.9","Peripheral vascular disease, unspecified"
"446.5","Giant cell arteritis"
"447.6","Arteritis, unspecified"
"447.8","Other specified disorders of arteries and arterioles"
"447.9","Unspecified disorders of arteries and arterioles"
"448.1","Nevus, non-neoplastic"
"453.3","Other venous embolism and thrombosis of renal vein"
"453.82","Acute venous embolism and thrombosis of deep veins of upper extremity"
"458.9","Hypotension, unspecified"
"459.0","Hemorrhage, unspecified"
"459.30","Chronic venous hypertension without complications"
"459.81","Venous (peripheral) insufficiency, unspecified"
"459.89","Other specified disorders of circulatory system"
"477.0","Allergic rhinitis due to pollen"
"493.90","Asthma, unspecified type, unspecified"
"527.7","Disturbance of salivary secretion"
"571.40","Chronic hepatitis, unspecified"
"573.3","Hepatitis, unspecified"
"575.8","Other specified disorders of gallbladder"
"642.00","Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable"
"648.80","Abnormal glucose tolerance of mother, unspecified as to episode of care or not applicable"
"649.40","Epilepsy complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
"686.1","Pyogenic granuloma of skin and subcutaneous tissue"
"691.8","Other atopic dermatitis and related conditions"
"692.3","Contact dermatitis and other eczema due to drugs and medicines in contact with skin"
"692.6","Contact dermatitis and other eczema due to plants [except food]"
"692.72","Acute dermatitis due to solar radiation"
"692.83","Dermatitis due to metals"
"692.89","Contact dermatitis and other eczema due to other specified agents"
"692.9","Contact dermatitis and other eczema, unspecified cause"
"695.13","Stevens-Johnson syndrome"
"695.3","Rosacea"
"695.4","Lupus erythematosus"
"698.9","Unspecified pruritic disorder"
"701.3","Striae atrophicae"
"701.9","Unspecified hypertrophic and atrophic conditions of skin"
"702.11","Inflamed seborrheic keratosis"
"704.00","Alopecia, unspecified"
"704.2","Abnormalities of the hair"
"706.2","Sebaceous cyst"
"709.9","Unspecified disorder of skin and subcutaneous tissue"
"710.0","Systemic lupus erythematosus"
"710.1","Systemic sclerosis"
"710.2","Sicca syndrome"
"710.9","Unspecified diffuse connective tissue disease"
"714.0","Rheumatoid arthritis"
"716.90","Arthropathy, unspecified, site unspecified"
"716.94","Arthropathy, unspecified, hand"
"742.9","Unspecified congenital anomaly of brain, spinal cord, and nervous system"
"743.00","Clinical anophthalmos, unspecified"
"743.10","Microphthalmos, unspecified"
"743.30","Congenital cataract, unspecified"
"743.31","Congenital capsular and subcapsular cataract"
"743.32","Congenital cortical and zonular cataract"
"743.33","Congenital nuclear cataract"
"743.36","Congenital anomalies of lens shape"
"743.39","Other congenital cataract and lens anomalies"
"743.41","Congenital anomalies of corneal size and shape"
"743.43","Other corneal opacities, congenital"
"743.44","Specified congenital anomalies of anterior chamber, chamber angle, and related structures"
"743.45","Aniridia"
"743.46","Other specified congenital anomalies of iris and ciliary body"
"743.47","Specified congenital anomalies of sclera"
"743.49","Other congenital anomalies of anterior segment"
"743.51","Vitreous anomalies"
"743.52","Fundus coloboma"
"743.53","Chorioretinal degeneration, congenital"
"743.55","Congenital macular changes"
"743.56","Other retinal changes, congenital"
"743.57","Specified congenital anomalies of optic disc"
"743.58","Vascular anomalies"
"743.61","Congenital ptosis"
"743.9","Unspecified anomaly of eye"
"757.33","Congenital pigmentary anomalies of skin"
"758.6","Gonadal dysgenesis"
"759.3","Situs inversus"
"759.6","Other hamartoses, not elsewhere classified"
"759.82","Marfan syndrome"
"764.14","""Light-for-dates"" with signs of fetal malnutrition, 1,000-1,249 grams"
"764.15","""Light-for-dates"" with signs of fetal malnutrition, 1,250-1,499 grams"
"764.17","""Light-for-dates"" with signs of fetal malnutrition, 1,750-1,999 grams"
"765.25","29-30 completed weeks of gestation"
"780.39","Other convulsions"
"780.4","Dizziness and giddiness"
"780.57","Unspecified sleep apnea"
"780.96","Generalized pain"
"781.0","Abnormal involuntary movements"
"781.99","Other symptoms involving nervous and musculoskeletal systems"
"782.1","Rash and other nonspecific skin eruption"
"782.61","Pallor"
"782.7","Spontaneous ecchymoses"
"782.9","Other symptoms involving skin and integumentary tissues"
"783.22","Underweight"
"784.0","Headache"
"784.51","Dysarthria"
"785.9","Other symptoms involving cardiovascular system"
"790.22","Impaired glucose tolerance test (oral)"
"790.29","Other abnormal glucose"
"790.6","Other abnormal blood chemistry"
"795.71","Nonspecific serologic evidence of human immunodeficiency virus [HIV]"
"796.2","Elevated blood pressure reading without diagnosis of hypertension"
"802.6","Closed fracture of orbital floor (blow-out)"
"802.7","Open fracture of orbital floor (blow-out)"
"802.8","Closed fracture of other facial bones"
"852.20","Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness"
"854.00","Intracranial injury of other and unspecified nature without mention of open intracranial wound, unspecified state of consciousness"
"870.0","Laceration of skin of eyelid and periocular area"
"870.1","Laceration of eyelid, full-thickness, not involving lacrimal passages"
"870.9","Unspecified open wound of ocular adnexa"
"871.3","Avulsion of eye"
"871.4","Unspecified laceration of eye"
"909.5","Late effect of adverse effect of drug, medicinal or biological substance"
"918.0","Superficial injury of eyelids and periocular area"
"918.1","Superficial injury of cornea"
"918.2","Superficial injury of conjunctiva"
"918.9","Other and unspecified superficial injuries of eye"
"921.0","Black eye, not otherwise specified"
"921.1","Contusion of eyelids and periocular area"
"921.2","Contusion of orbital tissues"
"921.3","Contusion of eyeball"
"921.9","Unspecified contusion of eye"
"924.9","Contusion of unspecified site"
"930.0","Corneal foreign body"
"930.1","Foreign body in conjunctival sac"
"930.8","Foreign body in other and combined sites on external eye"
"940.0","Chemical burn of eyelids and periocular area"
"940.1","Other burns of eyelids and periocular area"
"940.2","Alkaline chemical burn of cornea and conjunctival sac"
"940.3","Acid chemical burn of cornea and conjunctival sac"
"940.4","Other burn of cornea and conjunctival sac"
"941.02","Burn of unspecified degree of eye (with other parts of face, head, and neck)"
"950.0","Optic nerve injury"
"951.0","Injury to oculomotor nerve"
"959.01","Head injury, unspecified"
"959.9","Unspecified site injury"
"977.9","Poisoning by unspecified drug or medicinal substance"
"995.20","Unspecified adverse effect of unspecified drug, medicinal and biological substance"
"995.27","Other drug allergy"
"995.29","Unspecified adverse effect of other drug, medicinal and biological substance"
"995.3","Allergy, unspecified, not elsewhere classified"
"996.51","Mechanical complication due to corneal graft"
"996.52","Mechanical complication due to graft of other tissue, not elsewhere classified"
"996.53","Mechanical complication due to ocular lens prosthesis"
"996.59","Mechanical complication due to other implant and internal device, not elsewhere classified"
"996.60","Infection and inflammatory reaction due to unspecified device, implant, and graft"
"998.82","Cataract fragments in eye following cataract surgery"
"E931.3","Quinoline and hydroxyquinoline derivatives causing adverse effects in therapeutic use"
"E931.4","Antimalarials and drugs acting on other blood protozoa causing adverse effects in therapeutic use"
